source_id,source_type,title,url,supports_claim,does_not_support,evidence_directness
SRC_NIH_ODS_B12_HP,NIH nutrient reference,Vitamin B12 Fact Sheet for Health Professionals,https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/,B12 is relevant to neurologic/hematologic function and deficiency-risk contexts; deficiency correction has stronger evidence than generic wellness energy claims.,Does not prove B12 improves peptide efficacy or guarantees energy in nondeficient clients.,direct for nutrient biology/deficiency; indirect for wellness support
SRC_NIH_ODS_BIOTIN_HP,NIH nutrient reference,Biotin Fact Sheet for Health Professionals,https://ods.od.nih.gov/factsheets/Biotin-HealthProfessional/,Biotin is involved in carboxylase enzymes and is marketed for hair/skin/nails; evidence for benefit outside deficiency is limited.,Does not prove hair growth or GHK-Cu synergy in nondeficient clients.,direct for nutrient biology; limited for nondeficient aesthetic outcome
SRC_FDA_BIOTIN_LAB_INTERFERENCE,FDA safety communication,Biotin Interference with Troponin Lab Tests,https://www.fda.gov/medical-devices/in-vitro-diagnostics/biotin-interference-troponin-lab-tests-assays-subject-biotin-interference,"Biotin can interfere with certain lab assays, including troponin.",Does not prohibit all biotin use.,direct for lab-interference safety gate
SRC_NIH_ODS_VITAMIN_C_HP,NIH nutrient reference,Vitamin C Fact Sheet for Health Professionals,https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/,Vitamin C is required for collagen biosynthesis and antioxidant function; high intake has renal/oxalate considerations.,"Does not prove IV vitamin C improves GHK-Cu outcomes, skin outcomes, or peptide efficacy.",direct for collagen/nutrient biology; indirect for aesthetic wellness support
SRC_NIH_ODS_MAGNESIUM_HP,NIH nutrient reference,Magnesium Fact Sheet for Health Professionals,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/,Magnesium is involved in energy production and neuromuscular function; renal impairment increases toxicity risk.,Does not prove magnesium IV improves peptide outcomes.,direct for nutrient biology/safety; indirect for wellness support
SRC_GHK_CU_REVIEW_PMC,peer-reviewed review,GHK peptide as a natural modulator of multiple cellular pathways in skin repair / regeneration literature,https://pmc.ncbi.nlm.nih.gov/articles/PMC6073405/,"GHK-Cu maps to skin repair, extracellular matrix, collagen/glycosaminoglycan, antioxidant and remodeling biology.",Does not prove IV biotin/vitamin C/glutathione enhances GHK-Cu outcomes.,mechanistic/direct for GHK-Cu skin axis; indirect for IV ingredient support
SRC_MOTSC_REVIEW_2023,peer-reviewed review,MOTS-c: A promising mitochondrial-derived peptide for therapeutic exploitation,https://pmc.ncbi.nlm.nih.gov/articles/PMC9905433/,MOTS-c maps to mitochondrial/metabolic/AMPK energy biology.,Does not prove NAD/NR/glutathione IV improves MOTS-c effects.,mechanistic for peptide axis
SRC_SS31_REVIEW_PMC,peer-reviewed review,SS-31 mitochondrial-targeting peptide review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9192202/,SS-31 maps to mitochondrial redox and membrane/cardiolipin biology.,Does not prove NAD/NR/glutathione IV improves SS-31 outcomes.,mechanistic for peptide axis
SRC_FRONTIERS_NR_NAD_IV_2026,peer-reviewed human IV tolerability study,Intravenous infusion of NAD+ versus nicotinamide riboside: retrospective tolerability pilot,https://www.frontiersin.org/journals/aging/articles/10.3389/fragi.2026.1652582/full,Preliminary human IV tolerability data for NAD+ and NR/Niagen IV; NR is distinct from NAD+.,"Does not prove durable energy outcomes, anti-aging, disease treatment, or peptide synergy.",direct for IV NAD/NR tolerability; indirect for wellness energy support
SRC_NIAGEN_IDENTITY,commercial product identity source,Niagen Plus product identity,https://www.niagenplus.com/,"Niagen is nicotinamide riboside chloride / NR, a NAD+ precursor.",Does not independently prove clinical outcomes.,product identity only
SRC_TESAMORELIN_DAILYMED,label pharmacology/safety,DailyMed Egrifta SV / tesamorelin label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3d783378-b02d-4f19-99dd-0fc91a042224,Tesamorelin maps to GH/IGF-1 axis; glucose/IGF-1/retinopathy review matters.,"Does not prove IV amino acids, B vitamins or NAD improve GH peptide outcomes.",direct for peptide axis and safety context
SRC_MSD_MYERS_LIMITS,clinical reference review,MSD/Merck Manual: Intravenous Vitamin Therapy / Myers' Cocktail,https://www.msdmanuals.com/home/special-subjects/dietary-supplements-and-vitamins/intravenous-vitamin-therapy-myers-cocktail,Broad IV wellness benefit evidence is limited; safety screening matters.,Does not validate generic peptide-IV efficacy.,direct for evidence-limit and safety posture
